size	tolerance_gr	ES	EI
3-6	E6	28	20
3-6	E7	32	20
3-6	E11	95	20
3-6	E12	140	20
3-6	E13	200	20
3-6	F6	18	10
3-6	F7	22	10
3-6	F8	28	10
3-6	G6	12	4
3-6	G7	16	4
3-6	G8	22	4
3-6	H6	8	0
3-6	H7	12	0
3-6	H8	18	0
3-6	H9	30	0
3-6	H10	48	0
3-6	H11	75	0
3-6	J6	5	-3
3-6	J7	6	-6
3-6	J8	10	-8
3-6	JS6	4	-4
3-6	JS7	6	-6
3-6	JS8	9	-9
3-6	K6	2	-6
3-6	K7	3	-9
3-6	K8	5	-13
3-6	M6	-1	-9
3-6	M7	0	-12
3-6	M8	2	-16
3-6	N6	-5	-13
3-6	N7	-4	-16
3-6	N8	-2	-20
3-6	P6	-9	-17
3-6	P7	-8	-20
3-6	P8	-12	-30
3-6	R6	-12	-20
3-6	R7	-11	-23
6-10	E6	34	25
6-10	E7	40	25
6-10	E11	115	25
6-10	E12	175	25
6-10	E13	245	25
6-10	F6	22	13
6-10	F7	28	13
6-10	F8	35	13
6-10	G6	14	5
6-10	G7	20	5
6-10	G8	27	5
6-10	H6	9	0
6-10	H7	15	0
6-10	H8	22	0
6-10	H9	36	0
6-10	H10	58	0
6-10	H11	90	0
6-10	J6	5	-4
6-10	J7	8	-7
6-10	J8	12	-10
6-10	JS6	4.5	-4.5
6-10	JS7	7.5	-7.5
6-10	JS8	11	-11
6-10	K6	2	-7
6-10	K7	5	-10
6-10	K8	6	-16
6-10	M6	-3	-12
6-10	M7	0	-15
6-10	M8	1	-21
6-10	N6	-7	-16
6-10	N7	-4	-19
6-10	N8	-3	-25
6-10	P6	-12	-21
6-10	P7	-9	-24
6-10	P8	-15	-37
6-10	R6	-16	-25
6-10	R7	-13	-28
10-18	E6	43	32
10-18	E7	50	32
10-18	E11	142	32
10-18	E12	212	32
10-18	E13	302	32
10-18	F6	27	16
10-18	F7	34	16
10-18	F8	43	16
10-18	G6	17	6
10-18	G7	24	6
10-18	G8	33	6
10-18	H6	11	0
10-18	H7	18	0
10-18	H8	27	0
10-18	H9	43	0
10-18	H10	70	0
10-18	H11	110	0
10-18	J6	6	-5
10-18	J7	10	-8
10-18	J8	15	-12
10-18	JS6	5.5	-5.5
10-18	JS7	9	-9
10-18	JS8	13.5	-13.5
10-18	K6	2	-9
10-18	K7	6	-12
10-18	K8	8	-19
10-18	M6	-4	-15
10-18	M7	0	-18
10-18	M8	2	-25
10-18	N6	-9	-20
10-18	N7	-5	-23
10-18	N8	-3	-30
10-18	P6	-15	-26
10-18	P7	-11	-29
10-18	P8	-18	-45
10-18	R6	-20	-31
10-18	R7	-16	-34
18-30	E6	53	40
18-30	E7	61	40
18-30	E11	170	40
18-30	E12	250	40
18-30	E13	370	40
18-30	F6	33	20
18-30	F7	41	20
18-30	F8	53	20
18-30	G6	20	7
18-30	G7	28	7
18-30	G8	40	7
18-30	H6	13	0
18-30	H7	21	0
18-30	H8	33	0
18-30	H9	52	0
18-30	H10	84	0
18-30	H11	130	0
18-30	J6	8	-5
18-30	J7	12	-9
18-30	J8	20	-13
18-30	JS6	6.5	-6.5
18-30	JS7	10.5	-10.5
18-30	JS8	16.5	-16.5
18-30	K6	2	-11
18-30	K7	6	-15
18-30	K8	10	-23
18-30	M6	-4	-17
18-30	M7	0	-21
18-30	M8	4	-29
18-30	N6	-11	-24
18-30	N7	-7	-28
18-30	N8	-3	-36
18-30	P6	-18	-31
18-30	P7	-14	-35
18-30	P8	-22	-55
18-30	R6	-24	-37
18-30	R7	-20	-41
30-40	E6	66	50
30-40	E7	75	50
30-40	E11	210	50
30-40	E12	300	50
30-40	E13	440	50
30-40	F6	41	2
30-40	F7	50	25
30-40	F8	64	25
30-40	G6	25	9
30-40	G7	34	9
30-40	G8	48	9
30-40	H6	16	0
30-40	H7	25	0
30-40	H8	39	0
30-40	H9	62	0
30-40	H10	100	0
30-40	H11	160	0
30-40	J6	10	-6
30-40	J7	14	-11
30-40	J8	24	-15
30-40	JS6	8	-8
30-40	JS7	12.5	-12.5
30-40	JS8	19.5	-19.5
30-40	K6	3	-13
30-40	K7	7	-18
30-40	K8	12	-27
30-40	M6	-4	-20
30-40	M7	0	-25
30-40	M8	5	-34
30-40	N6	-12	-28
30-40	N7	-8	-33
30-40	N8	-3	-42
30-40	P6	-21	-37
30-40	P7	-17	-42
30-40	P8	-26	-65
30-40	R6	-29	-45
30-40	R7	-25	-50
40-50	E6	66	50
40-50	E7	75	50
40-50	E11	210	50
40-50	E12	300	50
40-50	E13	440	50
40-50	F6	41	2
40-50	F7	50	25
40-50	F8	64	25
40-50	G6	25	9
40-50	G7	34	9
40-50	G8	48	9
40-50	H6	16	0
40-50	H7	25	0
40-50	H8	39	0
40-50	H9	62	0
40-50	H10	100	0
40-50	H11	160	0
40-50	J6	10	-6
40-50	J7	14	-11
40-50	J8	24	-15
40-50	JS6	8	-8
40-50	JS7	12.5	-12.5
40-50	JS8	19.5	-19.5
40-50	K6	3	-13
40-50	K7	7	-18
40-50	K8	12	-27
40-50	M6	-4	-20
40-50	M7	0	-25
40-50	M8	5	-34
40-50	N6	-12	-28
40-50	N7	-8	-33
40-50	N8	-3	-42
40-50	P6	-21	-37
40-50	P7	-17	-42
40-50	P8	-26	-65
40-50	R6	-29	-45
40-50	R7	-25	-50
50-65	E6	79	60
50-65	E7	90	60
50-65	E11	250	60
50-65	E12	360	60
50-65	E13	520	60
50-65	F6	49	30
50-65	F7	60	30
50-65	F8	76	30
50-65	G6	29	10
50-65	G7	40	10
50-65	G8	56	10
50-65	H6	19	0
50-65	H7	30	0
50-65	H8	46	0
50-65	H9	74	0
50-65	H10	120	0
50-65	H11	190	0
50-65	J6	13	-6
50-65	J7	18	-12
50-65	J8	28	-18
50-65	JS6	9.5	-9.5
50-65	JS7	15	-15
50-65	JS8	23	-23
50-65	K6	4	-15
50-65	K7	9	-21
50-65	K8	14	-32
50-65	M6	-5	-24
50-65	M7	0	-30
50-65	M8	5	-41
50-65	N6	-14	-33
50-65	N7	-9	-39
50-65	N8	-4	-50
50-65	P6	-26	-45
50-65	P7	-21	-51
50-65	P8	-32	-78
50-65	R6	-35	-54
50-65	R7	-30	-60
65-80	E6	79	60
65-80	E7	90	60
65-80	E11	250	60
65-80	E12	360	60
65-80	E13	520	60
65-80	F6	49	30
65-80	F7	60	30
65-80	F8	76	30
65-80	G6	29	10
65-80	G7	40	10
65-80	G8	56	10
65-80	H6	19	0
65-80	H7	30	0
65-80	H8	46	0
65-80	H9	74	0
65-80	H10	120	0
65-80	H11	190	0
65-80	J6	13	-6
65-80	J7	18	-12
65-80	J8	28	-18
65-80	JS6	9.5	-9.5
65-80	JS7	15	-15
65-80	JS8	23	-23
65-80	K6	4	-15
65-80	K7	9	-21
65-80	K8	14	-32
65-80	M6	-5	-24
65-80	M7	0	-30
65-80	M8	5	-41
65-80	N6	-14	-33
65-80	N7	-9	-39
65-80	N8	-4	-50
65-80	P6	-26	-45
65-80	P7	-21	-51
65-80	P8	-32	-78
65-80	R6	-37	-56
65-80	R7	-32	-62
80-100	E6	94	72
80-100	E7	107	72
80-100	E11	292	72
80-100	E12	422	72
80-100	E13	612	72
80-100	F6	58	36
80-100	F7	71	36
80-100	F8	90	36
80-100	G6	34	12
80-100	G7	47	12
80-100	G8	66	12
80-100	H6	22	0
80-100	H7	35	0
80-100	H8	54	0
80-100	H9	87	0
80-100	H10	140	0
80-100	H11	220	0
80-100	J6	16	-6
80-100	J7	22	-13
80-100	J8	34	-20
80-100	JS6	11	-11
80-100	JS7	17.5	-17.5
80-100	JS8	27	-27
80-100	K6	4	-18
80-100	K7	10	-25
80-100	K8	16	-38
80-100	M6	-6	-28
80-100	M7	0	-35
80-100	M8	6	-48
80-100	N6	-16	-38
80-100	N7	-10	-45
80-100	N8	-4	-58
80-100	P6	-30	-52
80-100	P7	-24	-59
80-100	P8	-37	-91
80-100	R6	-44	-66
80-100	R7	-38	-73
100-120	E6	94	72
100-120	E7	107	72
100-120	E11	292	72
100-120	E12	422	72
100-120	E13	612	72
100-120	F6	58	36
100-120	F7	71	36
100-120	F8	90	36
100-120	G6	34	12
100-120	G7	47	12
100-120	G8	66	12
100-120	H6	22	0
100-120	H7	35	0
100-120	H8	54	0
100-120	H9	87	0
100-120	H10	140	0
100-120	H11	220	0
100-120	J6	16	-6
100-120	J7	22	-13
100-120	J8	34	-20
100-120	JS6	11	-11
100-120	JS7	17.5	-17.5
100-120	JS8	27	-27
100-120	K6	4	-18
100-120	K7	10	-25
100-120	K8	16	-38
100-120	M6	-6	-28
100-120	M7	0	-35
100-120	M8	6	-48
100-120	N6	-16	-38
100-120	N7	-10	-45
100-120	N8	-4	-58
100-120	P6	-30	-52
100-120	P7	-24	-59
100-120	P8	-37	-91
