size	tolerance_gr	es	ei
3-6	a12	-270	-390
3-6	d6	-30	-38
3-6	e6	-20	-28
3-6	e13	-20	-200
3-6	f5	-10	-15
3-6	f6	-10	-18
3-6	f7	-10	-22
3-6	g5	-4	-9
3-6	g6	-4	-12
3-6	g7	-4	-16
3-6	h4	0	-4
3-6	h5	0	-5
3-6	h6	0	-8
3-6	h7	0	-12
3-6	h8	0	-18
3-6	h9	0	-30
3-6	h10	0	-48
3-6	h11	0	-75
3-6	h12	0	-120
3-6	j5	3	-2
3-6	j6	6	-2
3-6	j7	8	-4
3-6	js5	2.5	-2.5
3-6	js6	4	-4
3-6	js7	6	-6
3-6	k5	6	1
3-6	k6	9	1
3-6	k7	13	1
3-6	m5	9	4
3-6	m6	12	4
3-6	m7	16	4
3-6	n5	13	8
3-6	n6	16	8
3-6	n7	20	8
3-6	p5	17	12
3-6	p6	20	12
3-6	r6	23	15
6-10	a12	-280	-430
6-10	d6	-40	-49
6-10	e6	-25	-34
6-10	e13	-25	-245
6-10	f5	-13	-29
6-10	f6	-13	-22
6-10	f7	-13	-28
6-10	g5	-5	-11
6-10	g6	-5	-14
6-10	g7	-5	-20
6-10	h4	0	-4
6-10	h5	0	-6
6-10	h6	0	-9
6-10	h7	0	-15
6-10	h8	0	-22
6-10	h9	0	-36
6-10	h10	0	-58
6-10	h11	0	-90
6-10	h12	0	-150
6-10	j5	4	-2
6-10	j6	7	-2
6-10	j7	10	-5
6-10	js5	3	-3
6-10	js6	4.5	-4.5
6-10	js7	7.5	-7.5
6-10	k5	7	1
6-10	k6	10	1
6-10	k7	16	1
6-10	m5	12	6
6-10	m6	15	6
6-10	m7	21	6
6-10	n5	16	10
6-10	n6	19	10
6-10	n7	25	10
6-10	p5	21	15
6-10	p6	24	15
6-10	r6	28	19
10-18	a12	-290	-470
10-18	d6	-50	-61
10-18	e6	-32	-43
10-18	e13	-32	-302
10-18	f5	-16	-24
10-18	f6	-16	-27
10-18	f7	-16	-34
10-18	g5	-6	-14
10-18	g6	-6	-17
10-18	g7	-6	-24
10-18	h4	0	-5
10-18	h5	0	-8
10-18	h6	0	-11
10-18	h7	0	-18
10-18	h8	0	-27
10-18	h9	0	-43
10-18	h10	0	-70
10-18	h11	0	-110
10-18	h12	0	-180
10-18	j5	5	-3
10-18	j6	8	-3
10-18	j7	12	-6
10-18	js5	4	-4
10-18	js6	5.5	-5.5
10-18	js7	9	-9
10-18	k5	9	1
10-18	k6	12	1
10-18	k7	19	1
10-18	m5	15	7
10-18	m6	18	7
10-18	m7	25	7
10-18	n5	20	12
10-18	n6	23	12
10-18	n7	30	12
10-18	p5	26	18
10-18	p6	29	18
10-18	r6	34	23
18-30	a12	-300	-510
18-30	d6	-65	-78
18-30	e6	-40	-53
18-30	e13	-40	-370
18-30	f5	-20	-29
18-30	f6	-20	-33
18-30	f7	-20	-41
18-30	g5	-7	-16
18-30	g6	-7	-20
18-30	g7	-7	-28
18-30	h4	0	-6
18-30	h5	0	-9
18-30	h6	0	-13
18-30	h7	0	-21
18-30	h8	0	-33
18-30	h9	0	-52
18-30	h10	0	-84
18-30	h11	0	-130
18-30	h12	0	-210
18-30	j5	5	-4
18-30	j6	9	-4
18-30	j7	13	-8
18-30	js5	4.5	-4.5
18-30	js6	6.5	-6.5
18-30	js7	10.5	-10.5
18-30	k5	11	2
18-30	k6	15	2
18-30	k7	23	2
18-30	m5	17	8
18-30	m6	21	8
18-30	m7	29	8
18-30	n5	24	15
18-30	n6	28	15
18-30	n7	36	15
18-30	p5	31	22
18-30	p6	35	22
18-30	r6	41	28
30-40	a12	-310	-560
30-40	d6	-80	-96
30-40	e6	-50	-66
30-40	e13	-50	-440
30-40	f5	-25	-36
30-40	f6	-25	-41
30-40	f7	-25	-50
30-40	g5	-9	-20
30-40	g6	-9	-25
30-40	g7	-9	-34
30-40	h4	0	-7
30-40	h5	0	-11
30-40	h6	0	-16
30-40	h7	0	-25
30-40	h8	0	-39
30-40	h9	0	-62
30-40	h10	0	-100
30-40	h11	0	-160
30-40	h12	0	-250
30-40	j5	6	-5
30-40	j6	11	-5
30-40	j7	15	-10
30-40	js5	5.5	-5.5
30-40	js6	8	-8
30-40	js7	12.5	-12.5
30-40	k5	13	2
30-40	k6	18	2
30-40	k7	27	2
30-40	m5	20	9
30-40	m6	25	9
30-40	m7	34	9
30-40	n5	28	17
30-40	n6	33	17
30-40	n7	42	17
30-40	p5	37	26
30-40	p6	42	26
30-40	r6	50	34
40-50	a12	-320	-570
40-50	d6	-80	-96
40-50	e6	-50	-66
40-50	e13	-50	-440
40-50	f5	-25	-36
40-50	f6	-25	-41
40-50	f7	-25	-50
40-50	g5	-9	-20
40-50	g6	-9	-25
40-50	g7	-9	-34
40-50	h4	0	-7
40-50	h5	0	-11
40-50	h6	0	-16
40-50	h7	0	-25
40-50	h8	0	-39
40-50	h9	0	-62
40-50	h10	0	-100
40-50	h11	0	-160
40-50	h12	0	-250
40-50	j5	6	-5
40-50	j6	11	-5
40-50	j7	15	-10
40-50	js5	5.5	-5.5
40-50	js6	8	-8
40-50	js7	12.5	-12.5
40-50	k5	13	2
40-50	k6	18	2
40-50	k7	27	2
40-50	m5	20	9
40-50	m6	25	9
40-50	m7	34	9
40-50	n5	28	17
40-50	n6	33	17
40-50	n7	42	17
40-50	p5	37	26
40-50	p6	42	26
40-50	r6	50	34
50-65	a12	-340	-640
50-65	d6	-100	-119
50-65	e6	-60	-79
50-65	e13	-60	-520
50-65	f5	-30	-43
50-65	f6	-30	-49
50-65	f7	-30	-60
50-65	g5	-10	-23
50-65	g6	-10	-29
50-65	g7	-10	-40
50-65	h4	0	-8
50-65	h5	0	-13
50-65	h6	0	-19
50-65	h7	0	-30
50-65	h8	0	-46
50-65	h9	0	-74
50-65	h10	0	-120
50-65	h11	0	-190
50-65	h12	0	-300
50-65	j5	6	-7
50-65	j6	12	-7
50-65	j7	18	-12
50-65	js5	6.5	-6.5
50-65	js6	9.5	-9.5
50-65	js7	15	-15
50-65	k5	15	2
50-65	k6	21	2
50-65	k7	32	2
50-65	m5	24	11
50-65	m6	30	11
50-65	m7	41	11
50-65	n5	33	20
50-65	n6	39	20
50-65	n7	50	20
50-65	p5	45	32
50-65	p6	51	32
50-65	r6	60	41
65-80	a12	-360	-660
65-80	d6	-100	-119
65-80	e6	-60	-79
65-80	e13	-60	-520
65-80	f5	-30	-43
65-80	f6	-30	-49
65-80	f7	-30	-60
65-80	g5	-10	-23
65-80	g6	-10	-29
65-80	g7	-10	-40
65-80	h4	0	-8
65-80	h5	0	-13
65-80	h6	0	-19
65-80	h7	0	-30
65-80	h8	0	-46
65-80	h9	0	-74
65-80	h10	0	-120
65-80	h11	0	-190
65-80	h12	0	-300
65-80	j5	6	-7
65-80	j6	12	-7
65-80	j7	18	-12
65-80	js5	6.5	-6.5
65-80	js6	9.5	-9.5
65-80	js7	15	-15
65-80	k5	15	2
65-80	k6	21	2
65-80	k7	32	2
65-80	m5	24	11
65-80	m6	30	11
65-80	m7	41	11
65-80	n5	33	20
65-80	n6	39	20
